# BATT RELATED,University Name,TP,FP,TN,FN,LLM Answer,Column6,Column7,Column8,Column9,Column10,Column11
0,University of Arkansas at Little Rock,0,0,1,0,No,,,,,,
0,University of Arkansas at Pine Bluff,0,0,1,0,No,,,,,,
0,University of Arkansas - Fort Smith,0,0,1,0,No,,,,,,
0,University of Mississippi,0,0,1,0,No,,,,,,
0,University of Nebraska at Kearney,0,0,1,0,No,,,,,,
0,University of Nebraska–Lincoln,0,0,1,0,No,,,,,,
0,University of Nebraska at Omaha,0,0,1,0,No,,,,,,
1,The University of Utah,0,0,0,1,No,,,,,,
0,West Virginia University,0,0,1,0,No,,,,,,
1,The University of New Mexico,0,0,0,1,No,,,,,,
0,University of South Dakota,0,0,1,0,No,,,,,,
0,University of North Dakota,0,0,1,0,No,,,,,,
0,University of Wyoming,0,0,1,0,No,,,,,,
0,University of Delaware,0,0,1,0,No,,,,,,
0,University of Rhode Island,0,0,1,0,No,,,,,,
0,University of Vermont,0,0,1,0,No,,,,,,
0,University of Maine,0,0,1,0,No,,,,,,
0,University of Hawaii at Manoa,0,0,1,0,No,,,,,,
0,University of Hawaii at Hilo,0,0,1,0,No,,,,,,
0,University of Hawai‘i–West O‘ahu,0,0,1,0,No,,,,,,
0,University of Idaho,0,0,1,0,No,,,,,,
0,University of Alaska Fairbanks,0,0,1,0,No,,,,,,
0,University of Alaska Southeast,0,0,1,0,No,,,,,,
0,University of Alaska Anchorage,0,0,1,0,No,,,,,,
2,Michigan State University,0,0,0,1,No,,,,,,
0,Wayne State University,0,0,1,0,No,,,,,,
2,Michigan Technological University,0,0,0,1,No,,,,,,
0,Oakland University,0,0,1,0,No,,,,,,
0,University of Cincinnati,0,0,1,0,No,,,,,,
0,Case Western Reserve University,0,0,1,0,No,,,,,,
4,University of Dayton,0,0,0,1,No,,,,,,
0,Ohio University,0,0,1,0,No,,,,,,
0,Cleveland State University,0,0,1,0,No,,,,,,
0,Purdue University,0,0,1,0,No,,,,,,
0,Indiana University,0,0,1,0,No,,,,,,
0,University of Notre Dame,0,0,1,0,No,,,,,,
0,Ball State University,0,0,1,0,No,,,,,,
0,Rose-Hulman Institute of Technology,0,0,1,0,No,,,,,,
,,3,1,87,35,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
